ordem,Análise,Resultado,LQ,Data Análise
1,Antimônio,"","",
2,Arsênio,"","",
3,Bário,"","",
4,Cádmio,"","",
5,Chumbo,"","",
6,Cobre,"","",
7,Cromo,"","",
8,Mercúrio,"","",
9,Níquel,"","",
10,Nitrato - Nitrato N,"","",
11,Nitrito - Nitrito N,"","",
12,Selênio,"","",
13,Urânio,"","",
14,"1,2 Dicloroetano","","",
15,Acrilamida,"","",
16,Benzeno,"","",
17,Benzo[a]Pireno,"","",
18,Cloreto de Vinila,"","",
19,Bis(2-etilexil)ftalato,"","",
20,Diclorometano,"","",
21,Dioxano,"","",
22,Epicloridrina,"","",
23,Etilbenzeno,"","",
24,Pentaclorofenol,"","",
25,Tetracloreto de Carbono,"","",
26,Tetracloroeteno,"","",
27,Tolueno,"","",
28,Tricloroeteno,"","",
29,Xilenos,"","",
30,"2,4-D","","",
31,Alaclor,"","",
32,Aldicarbe+Aldicarbesulfona+Aldicarbesúlfoxido,"","",
33,Aldrin + Dieldrin,"","",
34,Ametrina,"","",
35,Atrazina + Dietil-Atrazina-Dea + Deisopropil-Atrazina-Dia + Diaminocloroatrazina-Dact,"","",
36,Carbendazim,"","",
37,Carbofurano,"","",
38,Ciproconazol,"","",
39,Clordano,"","",
40,Clorotalonil,"","",
41,Clorpirifos + Clorpirifos oxon,"","",
42,DDT + DDD + DDE,"","",
43,Difenoconazol,"","",
44,Dimetoato,"","",
45,Diuron,"","",
46,Epoxiconazol,"","",
47,Fipronil,"","",
48,Flutriafol,"","",
49,Glifosato + AMPA,"","",
50,Hidroxi-Atrazina,"","",
51,BHC-γ (Lindano) - γ-HCH (Lindano),"","",
52,Malation,"","",
53,Mancozebe + ETU,"","",
54,Metamidofós + Acefato,"","",
55,Metolacloro,"","",
56,Metribuzim,"","",
57,Molinato,"","",
58,Paraquate,"","",
59,Picloram,"","",
60,Profenofos,"","",
61,Propargito,"","",
62,Proticonazol + Proticonazol Destio,"","",
63,Simazina,"","",
64,Tebuconazol,"","",
65,Terbufos,"","",
66,Tiametoxam,"","",
67,Tiodicarbe,"","",
68,Tiram,"","",
69,Trifluralina,"","",
70,"1,2 Diclorobenzeno","","",
71,"1,4 Diclorobenzeno","","",
72,Alumínio,"","",
73,Nitrogênio Amôniacal,"","",
74,Cloreto -,"","",
75,Dureza Total,"","",
76,Ferro,"","",
77,Gosto e Odor,"","",
78,Manganês,"","",
79,Monoclorobenzeno,"","",
80,Sódio,"","",
81,Sólidos Totais Dissolvidos,"","",
82,Sulfato,"","",
83,Sulfeto de Hidrogênio,"","",
84,Zinco,"","",
