ordem,Análise,Resultado,LQ,Data Análise
1,Antimônio,"< 0,005 mg/L","0,005",01/01/2024
2,Arsênio,"< 0,005 mg/L","0,005",01/01/2024
3,Bário,"< 0,010 mg/L","0,010",01/01/2024
4,Cádmio,"< 0,001 mg/L","0,001",01/01/2024
5,Chumbo,"< 0,010 mg/L","0,010",01/01/2024
6,Cobre,"< 0,005 mg/L","0,005",01/01/2024
7,Cromo,"< 0,010 mg/L","0,010",01/01/2024
8,Mercúrio,"< 0,0001 mg/L","0,0001",01/01/2024
9,Níquel,"< 0,005 mg/L","0,005",01/01/2024
10,Nitrato - Nitrato N,"< 0,500 mg/L","0,500",01/01/2024
11,Nitrito - Nitrito N,"< 0,500 mg/L","0,500",01/01/2024
12,Selênio,"< 0,005 mg/L","0,005",01/01/2024
13,Urânio,"< 0,010 mg/L","0,010",01/01/2024
14,"1,2 Dicloroetano","< 1,000000 μg/L.","1,000000",01/01/2024
15,Acrilamida,"< 0,100 μg/L.","0,100",01/01/2024
16,Benzeno,"< 1,000000 μg/L.","1,000000",01/01/2024
17,Benzo[a]Pireno,"< 0,0100 μg/L.","0,0100",01/01/2024
18,Cloreto de Vinila,"< 0,100000 μg/L.","0,100000",01/01/2024
19,Bis(2-etilexil)ftalato,"< 0,0100 μg/L.","0,0100",01/01/2024
20,Diclorometano,"< 1,000000 μg/L.","1,000000",01/01/2024
21,Dioxano,"< 1,000000 μg/L.","1,000000",01/01/2024
22,Epicloridrina,"< 0,0100 μg/L.","0,0100",01/01/2024
23,Etilbenzeno,"< 1,000000 μg/L.","1,000000",01/01/2024
24,Pentaclorofenol,"< 0,010000 μg/L.","0,010000",01/01/2024
25,Tetracloreto de Carbono,"< 1,000000 μg/L.","1,000000",01/01/2024
26,Tetracloroeteno,"< 1,000000 μg/L.","1,000000",01/01/2024
27,Tolueno,"< 1,000000 μg/L.","1,000000",01/01/2024
28,Tricloroeteno,"< 1,000000 μg/L.","1,000000",01/01/2024
29,Xilenos,"< 2,000000 μg/L.","2,000000",01/01/2024
30,"2,4-D","< 0,1000 μg/L.","0,1000",01/01/2024
31,Alaclor,"< 0,0100 μg/L.","0,0100",01/01/2024
32,Aldicarbe+Aldicarbesulfona+Aldicarbesúlfoxido,"< 5,000 μg/L.","5,000",01/01/2024
33,Aldrin + Dieldrin,"< 0,0010 μg/L.","0,0010",01/01/2024
34,Ametrina,"< 0,0100 μg/L.","0,0100",01/01/2024
35,Atrazina + Dietil-Atrazina-Dea + Deisopropil-Atrazina-Dia + Diaminocloroatrazina-Dact,"< 0,0100 μg/L.","0,0100",01/01/2024
36,Carbendazim,"< 20,000 μg/L.","20,000",01/01/2024
37,Carbofurano,"< 5,000 μg/L.","5,000",01/01/2024
38,Ciproconazol,"< 0,0100 μg/L.","0,0100",01/01/2024
39,Clordano,"< 0,0100 μg/L.","0,0100",01/01/2024
40,Clorotalonil,"< 0,0100 μg/L.","0,0100",01/01/2024
41,Clorpirifos + Clorpirifos oxon,"< 0,0100 μg/L.","0,0100",01/01/2024
42,DDT + DDD + DDE,"< 0,0010 μg/L.","0,0010",01/01/2024
43,Difenoconazol,"< 0,0100 μg/L.","0,0100",01/01/2024
44,Dimetoato,"< 0,0100 μg/L.","0,0100",01/01/2024
45,Diuron,"< 10,000 μg/L.","10,000",01/01/2024
46,Epoxiconazol,"< 0,0100 μg/L.","0,0100",01/01/2024
47,Fipronil,"< 0,500 μg/L.","0,500",01/01/2024
48,Flutriafol,"< 0,0100 μg/L.","0,0100",01/01/2024
49,Glifosato + AMPA,"< 100,000 μg/L.","100,000",01/01/2024
50,Hidroxi-Atrazina,"< 0,0100 μg/L.","0,0100",01/01/2024
51,BHC-γ (Lindano) - γ-HCH (Lindano),"< 0,0100 μg/L.","0,0100",01/01/2024
52,Malation,"< 0,0100 μg/L.","0,0100",01/01/2024
53,Mancozebe + ETU,"< 5,000 μg/L.","5,000",01/01/2024
54,Metamidofós + Acefato,"< 0,0100 μg/L.","0,0100",01/01/2024
55,Metolacloro,"< 0,0100 μg/L.","0,0100",01/01/2024
56,Metribuzim,"< 0,0100 μg/L.","0,0100",01/01/2024
57,Molinato,"< 0,0100 μg/L.","0,0100",01/01/2024
58,Paraquate,"< 10,000 μg/L.","10,000",01/01/2024
59,Picloram,"< 10,000 μg/L.","10,000",01/01/2024
60,Profenofos,"< 0,0100 μg/L.","0,0100",01/01/2024
61,Propargito,"< 0,0100 μg/L.","0,0100",01/01/2024
62,Proticonazol + Proticonazol Destio,"< 1,000 μg/L.","1,000",01/01/2024
63,Simazina,"< 0,0100 μg/L.","0,0100",01/01/2024
64,Tebuconazol,"< 0,0100 μg/L.","0,0100",01/01/2024
65,Terbufos,"< 0,0100 μg/L.","0,0100",01/01/2024
66,Tiametoxam,"< 10,000 μg/L.","10,000",01/01/2024
67,Tiodicarbe,"< 10,000 μg/L.","10,000",01/01/2024
68,Tiram,"< 0,0100 μg/L.","0,0100",01/01/2024
69,Trifluralina,"< 0,0100 μg/L.","0,0100",01/01/2024
70,"1,2 Diclorobenzeno","< 1,000000 μg/L.","1,000000",01/01/2024
71,"1,4 Diclorobenzeno","< 0,100000 μg/L.","0,100000",01/01/2024
72,Alumínio,"< 0,025 mg/L","0,025",01/01/2024
73,Nitrogênio Amôniacal,"< 0,1 mg/L","0,1",01/01/2024
74,Cloreto -,"1,200 mg/L","0,500",01/01/2024
75,Dureza Total,"81,15 mg/L","4,00",01/01/2024
76,Ferro,"< 0,025 mg/L","0,025",01/01/2024
77,Gosto e Odor,0,0,01/01/2024
78,Manganês,"< 0,025 mg/L","0,025",01/01/2024
79,Monoclorobenzeno,"< 1,000000 μg/L.","1,000000",01/01/2024
80,Sódio,"21,20000 mg/L","1,00000",01/01/2024
81,Sólidos Totais Dissolvidos,"121,6700 mg/L","20,0000",01/01/2024
82,Sulfato,"6,2 mg/L","5,0",01/01/2024
83,Sulfeto de Hidrogênio,"< 0,002 mg/L","0,002",01/01/2024
84,Zinco,"< 0,025 mg/L","0,025",01/01/2024
